,name,lat,long
591,Tournon-Saint-Martin,46.73423,0.9551400000000001
592,Tourcoing,50.723910000000004,3.16117
593,Toulon-sur-Allier,46.51845,3.35989
594,Toufflers,50.66039,3.23358
595,Tigy,47.79365,2.19767
596,Tiffauges,47.01288,-1.11173
597,Tessé-la-Madeleine,48.54963,-0.42521000000000003
598,Taillades,43.83762,5.08951
599,Surtainville,49.45977,-1.81298
600,Soussans,45.05633,-0.6995
601,Soultzmatt,47.96188,7.23759
602,Sottevast,49.523740000000004,-1.59169
603,Serre-les-Sapins,47.25,5.93333
604,Selongey,47.58846,5.18483
605,Seissan,43.49161,0.5918500000000001
606,Sébazac-Concourès,44.40484,2.60324
607,Savasse,44.60428,4.77653
608,Saulcy-sur-Meurthe,48.23758,6.96443
609,Saint-Yrieix-sur-Charente,45.67521,0.12706
610,Saint-Vincent-de-Paul,43.74431,-1.00662
611,Saint-Victor,46.39506,2.60819
612,Saint-Viaud,47.25626,-2.01859
613,Saint-Sylvain,49.05624,-0.21758000000000002
614,Saint-Sulpice-la-Forêt,48.21769,-1.5796100000000002
615,Saint-Sorlin-en-Valloire,45.28774,4.9490300000000005
616,Saint-Senoux,47.90485,-1.7884700000000002
617,Saint-Projet,45.73794,0.36083000000000004
618,Saint-Privat,44.62859,4.41489
619,Saint-Pourçain-sur-Sioule,46.30748,3.28931
620,Saint-Pierre-des-Corps,47.38623,0.7484900000000001
621,Saint-Pierre-de-Plesguen,48.44699,-1.9136900000000001
622,Saint-Omer,50.74834,2.26091
623,Saint-Nazaire,47.27506,-2.2179
624,Saint-Michel-Mont-Mercure,46.82941,-0.8829800000000001
625,Saint-Maurice-en-Gourgois,45.40127,4.18253
626,Saint-Maur-des-Fossés,48.79395,2.49323
627,Saint-Mathurin,46.56491,-1.7145700000000001
628,Saint-Marcel,43.28745,5.4660400000000005
629,Saint-Mamet-la-Salvetat,44.85813,2.30688
630,Saint-Lyphard,47.39806,-2.30907
631,Saint-Lupicin,46.40034,5.7922
632,Saint-Léger-des-Vignes,46.84063,3.45488
633,Saint-Laurent-des-Arbres,44.05469,4.69976
634,Saint-Laurent,49.76449,4.77193
635,Saint-Josse,50.46801,1.6618
636,Saint-Herblon,47.40818,-1.09575
637,Saint-Girons,42.98491,1.14587
638,Saint-Gaudens,43.10813,0.72318
639,Saint-Fargeau,47.64133,3.07066
640,Sainte-Terre,44.82835,-0.11289
641,Sainte-Marthe,43.33449,5.39112
642,Saint-Denis-de-Cabanne,46.17249,4.21447
643,Saint-Cyr-en-Bourg,47.1952,-0.06085000000000001
644,Saint-Clément-des-Levées,47.3318,-0.18373
645,Saint-Chinian,43.42207,2.9465500000000002
646,Saint-Cézaire-sur-Siagne,43.65015,6.79219
647,Saint-Antoine-de-Breuilh,44.84443,0.15435000000000001
648,Saint-André,43.3563,5.34335
649,Saint-Amans-Soult,43.4775,2.48712
650,Sains-du-Nord,50.09377,4.00898
651,Rue,50.2715,1.67163
652,Roz-Landrieux,48.543260000000004,-1.8155800000000002
653,Rouffiac-Tolosan,43.66576,1.52521
654,Roubaix,50.69421,3.17456
655,Rœux,50.29526,2.9007300000000003
